event_id,game,market,description,name,point,ballybet_price,ballybet_decimal_odds,ballybet_implied_prob,ballybet_implied_prob_diff,ballybet_dejuice,ballybet_name,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,betparx_price,betparx_decimal_odds,betparx_implied_prob,betparx_implied_prob_diff,betparx_dejuice,betparx_name,betus_price,betus_decimal_odds,betus_implied_prob,betus_implied_prob_diff,betus_dejuice,betus_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id.1,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,lowvig_price,lowvig_decimal_odds,lowvig_implied_prob,lowvig_implied_prob_diff,lowvig_dejuice,lowvig_name,mybookieag_price,mybookieag_decimal_odds,mybookieag_implied_prob,mybookieag_implied_prob_diff,mybookieag_dejuice,mybookieag_name,point.1,williamhill_us_price,williamhill_us_decimal_odds,williamhill_us_implied_prob,williamhill_us_implied_prob_diff,williamhill_us_dejuice,williamhill_us_name,windcreek_price,windcreek_decimal_odds,windcreek_implied_prob,windcreek_implied_prob_diff,windcreek_dejuice,windcreek_name,values_populated,avg_dejuiced_prob
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,h2h,,Washington Huskies,,-148.0,1.6756756756756757,0.5967741935483871,-0.0022568540470443,0.5676429567642958,Washington Huskies,-155.0,1.6451612903225803,0.607843137254902,0.0096027284956502,0.5776397515527951,Washington Huskies,-148.0,1.6756756756756757,0.5967741935483871,-0.0022568540470443,0.5763869909811424,Washington Huskies,-148.0,1.6756756756756757,0.5967741935483871,-0.0022568540470443,0.5676429567642958,Washington Huskies,-148.0,1.6756756756756757,0.5967741935483871,-0.0022568540470443,0.5763869909811424,Washington Huskies,-145.0,1.6896551724137931,0.5918367346938775,-0.0075469885340188,0.5711159737417943,Washington Huskies,-148.0,1.6756756756756757,0.5967741935483871,-0.0022568540470443,0.5720596355604638,Washington Huskies,-145.0,1.6896551724137931,0.5918367346938775,-0.0075469885340188,0.5711159737417943,Washington Huskies,cfd930a09b967c56d5e6b76b967fd7af,-146.0,1.6849315068493151,0.5934959349593496,-0.0057692739638701,0.5685118922332141,Washington Huskies,-165.0,1.606060606060606,0.6226415094339623,0.0254581272589292,0.5780254777070064,Washington Huskies,-155.0,1.6451612903225803,0.607843137254902,0.0096027284956502,0.5721476510067114,Washington Huskies,-148.0,1.6756756756756757,0.5967741935483871,-0.0022568540470443,0.5763869909811424,Washington Huskies,-154.0,1.6493506493506491,0.6062992125984252,0.0079485235065679,0.5770191507077436,Washington Huskies,,-135.0,1.7407407407407407,0.574468085106383,-0.0261562559491915,0.552594002855783,Washington Huskies,-154.0,1.6493506493506491,0.6062992125984252,0.0079485235065679,0.5770191507077436,Washington Huskies,15,0.5721130364191379
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,h2h,,Washington St Cougars,,120.0,2.2,0.4545454545454545,0.0071423573674841,0.4323570432357043,Washington St Cougars,125.0,2.25,0.4444444444444444,-0.0036801534550267,0.4223602484472049,Washington St Cougars,128.0,2.28,0.4385964912280701,-0.0099458176154276,0.4236130090188576,Washington St Cougars,120.0,2.2,0.4545454545454545,0.0071423573674841,0.4323570432357043,Washington St Cougars,128.0,2.28,0.4385964912280701,-0.0099458176154276,0.4236130090188576,Washington St Cougars,125.0,2.25,0.4444444444444444,-0.0036801534550267,0.4288840262582056,Washington St Cougars,124.0,2.24,0.4464285714285714,-0.0015543031148906,0.4279403644395361,Washington St Cougars,125.0,2.25,0.4444444444444444,-0.0036801534550266,0.4288840262582056,Washington St Cougars,cfd930a09b967c56d5e6b76b967fd7af,122.0,2.22,0.4504504504504505,0.0027548529799798,0.431488107766786,Washington St Cougars,120.0,2.2,0.4545454545454545,0.0071423573674841,0.4219745222929936,Washington St Cougars,120.0,2.2,0.4545454545454545,0.0071423573674841,0.4278523489932885,Washington St Cougars,128.0,2.28,0.4385964912280701,-0.0099458176154276,0.4236130090188576,Washington St Cougars,125.0,2.25,0.4444444444444444,-0.0036801534550266,0.4229808492922564,Washington St Cougars,,115.0,2.15,0.4651162790697674,0.0184682407863908,0.447405997144217,Washington St Cougars,125.0,2.25,0.4444444444444444,-0.0036801534550266,0.4229808492922564,Washington St Cougars,15,0.4278869635808621
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,spreads,,Washington Huskies,-3.0,,,,,,,,,,,,,-105.0,1.9523809523809523,0.5121951219512195,-0.0009534210480697,0.4453870625662778,Washington Huskies,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.0164681817393866,0.4554865424430642,Washington Huskies,,,,,,,,,,,,,,,,,,,cfd930a09b967c56d5e6b76b967fd7af,,,,,,,,,,,,,,,,,,,-101.0,1.99009900990099,0.5024875621890548,-0.0155147606913168,0.436945706251352,Washington Huskies,,,,,,,-3.0,,,,,,,,,,,,,3,0.4459397704202314
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,spreads,,Washington Huskies,-2.5,-113.0,1.8849557522123892,0.5305164319248826,-0.0008558608315262,0.4613186364564197,Washington Huskies,-115.0,1.869565217391304,0.5348837209302326,0.0039481570743588,0.4651162790697675,Washington Huskies,,,,,,,-113.0,1.8849557522123892,0.5305164319248826,-0.0008558608315262,0.4613186364564197,Washington Huskies,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0082334597584208,0.4554865424430642,Washington Huskies,-112.0,1.8928571428571428,0.5283018867924528,-0.0032918604771989,0.4593929450369155,Washington Huskies,-115.0,1.869565217391304,0.5348837209302326,0.0039481570743588,0.4651162790697675,Washington Huskies,cfd930a09b967c56d5e6b76b967fd7af,-115.0,1.869565217391304,0.5348837209302326,0.0039481570743588,0.4651162790697675,Washington Huskies,-125.0,1.8,0.5555555555555556,0.026687175162214,0.4830917874396135,Washington Huskies,-115.0,1.869565217391304,0.5348837209302326,0.0039481570743588,0.4651162790697675,Washington Huskies,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0082334597584208,0.4554865424430642,Washington Huskies,-2.5,-105.0,1.9523809523809523,0.5121951219512195,-0.0210093018025555,0.4453870625662778,Washington Huskies,,,,,,,11,0.4619952062837132
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,spreads,,Washington St Cougars,2.5,-108.0,1.925925925925926,0.5192307692307692,-0.0001246626317528,0.451505016722408,Washington St Cougars,-105.0,1.9523809523809523,0.5121951219512195,-0.0078638746392574,0.4453870625662778,Washington St Cougars,,,,,,,-108.0,1.925925925925926,0.5192307692307692,-0.0001246626317528,0.451505016722408,Washington St Cougars,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.0049119674048773,0.4554865424430642,Washington St Cougars,-108.0,1.925925925925926,0.5192307692307692,-0.0001246626317528,0.451505016722408,Washington St Cougars,-105.0,1.9523809523809523,0.5121951219512195,-0.0078638746392574,0.4453870625662778,Washington St Cougars,cfd930a09b967c56d5e6b76b967fd7af,-105.0,1.9523809523809523,0.5121951219512195,-0.0078638746392574,0.4453870625662778,Washington St Cougars,-110.0,1.9090909090909087,0.5238095238095238,0.0049119674048773,0.4554865424430642,Washington St Cougars,-105.0,1.9523809523809523,0.5121951219512195,-0.0078638746392575,0.4453870625662778,Washington St Cougars,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.0049119674048772,0.4554865424430642,Washington St Cougars,2.5,-115.0,1.869565217391304,0.5348837209302326,0.0170935842376568,0.4651162790697675,Washington St Cougars,,,,,,,11,0.4516035642573905
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,spreads,,Washington St Cougars,3.0,,,,,,,,,,,,,-115.0,1.869565217391304,0.5348837209302326,0.0099457836700205,0.4651162790697675,Washington St Cougars,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0066655120110427,0.4554865424430642,Washington St Cougars,,,,,,,,,,,,,,,,,,,cfd930a09b967c56d5e6b76b967fd7af,,,,,,,,,,,,,,,,,,,-111.0,1.900900900900901,0.5260663507109005,-0.0032802716589777,0.4574490006181743,Washington St Cougars,,,,,,,3.0,,,,,,,,,,,,,3,0.459350607377002
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,totals,,Over,148.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0087586831772877,0.5,Over,,,,,,,-115.0,1.869565217391304,0.5348837209302326,0.0045303533675626,0.5108342361863489,Over,cfd930a09b967c56d5e6b76b967fd7af,-110.0,1.9090909090909087,0.5238095238095238,-0.0087586831772877,0.5,Over,-120.0,1.8333333333333333,0.5454545454545454,0.017215342796738,0.5048923679060665,Over,-115.0,1.869565217391304,0.5348837209302326,0.0045303533675628,0.5108342361863489,Over,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0087586831772877,0.5,Over,148.5,,,,,,,,,,,,,6,0.5044268067131275
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,totals,,Over,149.0,,,,,,,,,,,,,-115.0,1.869565217391304,0.5348837209302326,0.0066289208116918,0.5108342361863489,Over,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.007213825589194,0.5,Over,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.007213825589194,0.5,Over,,,,,,,cfd930a09b967c56d5e6b76b967fd7af,,,,,,,,,,,,,,,,,,,-113.0,1.8849557522123892,0.5305164319248826,0.0011698095550044,0.5111413164579527,Over,,,,,,,149.0,-115.0,1.869565217391304,0.5348837209302326,0.0066289208116919,0.5108342361863489,Over,,,,,,,5,0.5065619577661302
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,totals,,Over,149.5,-105.0,1.9523809523809523,0.5121951219512195,0.0,0.4871712636305324,Over,-105.0,1.9523809523809523,0.5121951219512195,0.0,0.4891657638136511,Over,,,,,,,-105.0,1.9523809523809523,0.5121951219512195,0.0,0.4871712636305324,Over,,,,,,,,,,,,,,,,,,,,,,,,,cfd930a09b967c56d5e6b76b967fd7af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.5,,,,,,,,,,,,,3,0.4878360970249053
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,totals,,Under,148.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.0024309213191799,0.5,Under,,,,,,,-105.0,1.9523809523809523,0.5121951219512195,-0.0115063609107852,0.4891657638136511,Under,cfd930a09b967c56d5e6b76b967fd7af,-110.0,1.9090909090909087,0.5238095238095238,0.0024309213191799,0.5,Under,-115.0,1.869565217391304,0.5348837209302326,0.0157199578640305,0.4951076320939335,Under,-105.0,1.9523809523809523,0.5121951219512195,-0.0115063609107851,0.4891657638136511,Under,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.0024309213191799,0.5,Under,148.5,,,,,,,,,,,,,6,0.4955731932868726
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,totals,,Under,149.0,,,,,,,,,,,,,-105.0,1.9523809523809523,0.5121951219512195,-0.0046057110817413,0.4891657638136511,Under,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.009912291241139,0.5,Under,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.009912291241139,0.5,Under,,,,,,,cfd930a09b967c56d5e6b76b967fd7af,,,,,,,,,,,,,,,,,,,-103.0,1.970873786407767,0.5073891625615764,-0.0106131603187952,0.4888586835420473,Under,,,,,,,149.0,-105.0,1.9523809523809523,0.5121951219512195,-0.0046057110817413,0.4891657638136511,Under,,,,,,,5,0.4934380422338699
cfd930a09b967c56d5e6b76b967fd7af,Washington St Cougars @ Washington Huskies,totals,,Under,149.5,-117.0,1.8547008547008548,0.5391705069124424,0.0021433929911048,0.5128287363694676,Under,-115.0,1.869565217391304,0.5348837209302326,-0.0042867859822097,0.5108342361863489,Under,,,,,,,-117.0,1.8547008547008548,0.5391705069124424,0.0021433929911048,0.5128287363694676,Under,,,,,,,,,,,,,,,,,,,,,,,,,cfd930a09b967c56d5e6b76b967fd7af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.5,,,,,,,,,,,,,3,0.5121639029750947
